Object ID,Name,Class,Parent,Centroid X µm,Centroid Y µm
19c3a326-4b91-46e1-b4f9-ff02ec35ce24,Target: CD20: CD3: CD4,Target: CD20: CD3: CD4,PathAnnotationObject,712.65,29.35
a8c0b9d7-3eb9-41a3-96fa-b3ca48903ab5,PathCellObject,,PathAnnotationObject,46.65,27.33
33ca491c-5fd6-4a00-a37e-b505802c6192,PathCellObject,,PathAnnotationObject,382.63,28.77
10bb7fef-d110-42d1-86a1-eee4278f973c,Target: CD68: CD3: CD8,Target: CD68: CD3: CD8,PathAnnotationObject,798.28,29.12
577c84f3-3c5d-4a0b-92da-f8752b41a8f5,Target: CD8,Target: CD8,PathAnnotationObject,279.39,29.76
e5b4a988-6d1b-41b8-9b73-0bac28621c55,PathCellObject,,PathAnnotationObject,394.25,28.95
31a703e2-8732-4211-b83c-a2b8ea053247,Target: CD3: CD4,Target: CD3: CD4,PathAnnotationObject,617.18,29.56
cf30644f-ab71-431f-9366-a5da67177bfd,Target: CD20: CD68: CD3: CD4: CD8,Target: CD20: CD68: CD3: CD4: CD8,PathAnnotationObject,770.02,31.24
531e2c44-eb34-4808-bd68-060743589c2e,Target: CD20: CD68: CD3: CD4,Target: CD20: CD68: CD3: CD4,PathAnnotationObject,783.47,29.99
40b20d77-850a-446f-9f0c-dddb604c860f,PathCellObject,,PathAnnotationObject,419.97,31.74
3de8b190-03f3-4b92-8dbd-44787a9ca407,PathCellObject,,PathAnnotationObject,446.62,29.03
cf47dcbf-921e-4deb-b597-3cbbb0da6ea7,Target: CD20: CD68: CD3: CD4,Target: CD20: CD68: CD3: CD4,PathAnnotationObject,759.87,29.12
cfece21a-d4b0-4b8e-8bfa-29b017e94d4d,Target: CD20: CD4,Target: CD20: CD4,PathAnnotationObject,732.82,31.93
cf3d8652-60db-4750-8423-12dd230ae0a6,Target: CD3: CD4,Target: CD3: CD4,PathAnnotationObject,552.35,29.71
c387d291-e407-4dec-b0ab-57c2fa3437ba,Target: CD3: CD4: CD8,Target: CD3: CD4: CD8,PathAnnotationObject,95.96,30.07
2fb2711c-da9e-4e99-a715-416b836cf75c,PathCellObject,,PathAnnotationObject,358.73,33.91
1a5f67a8-a40c-44a5-83ac-6616373984e6,PathCellObject,,PathAnnotationObject,429.67,29.74
c2a87d34-03d7-4adf-894e-e0c890fecc6c,Target: CD3: CD4,Target: CD3: CD4,PathAnnotationObject,626.71,31.45
929df2af-e268-4d7d-8f25-6b396074bd66,Target: CD3: CD4: CD8,Target: CD3: CD4: CD8,PathAnnotationObject,704.19,31.29
14dac202-8224-437d-adaf-b11f71d161ff,PathCellObject,,PathAnnotationObject,400.39,29.71
0997d8b3-3c93-4632-95a4-53e7c63676f8,PathCellObject,,PathAnnotationObject,435.75,31.23
731edc54-8646-4561-a7e5-33752ec2067c,Target: CD68: CD4,Target: CD68: CD4,PathAnnotationObject,668.31,30.22
1f899e2a-2c4a-4e5a-adaa-c2732460d063,Target: CD3: CD8: FoxP3,Target: CD3: CD8: FoxP3,PathAnnotationObject,190.68,30.17
887665d0-9503-431b-bd53-d9b352298dce,Target: CD68,Target: CD68,PathAnnotationObject,296.51,31.93
ddf2f18f-8144-468f-aa72-2843b7deb69a,PathCellObject,,PathAnnotationObject,461.36,32.36
44dd0c88-0509-4688-9fd1-511d172613c7,Target: CD3: CD8,Target: CD3: CD8,PathAnnotationObject,570.65,31.44
87fac8d2-44d0-498a-9f7b-9a4b44175fb8,Target: CD68,Target: CD68,PathAnnotationObject,70.62,33.56
